Gene    tcga_rgn_Solid_Tissue_Normal_TCGA-A7-A0CE-11A-21R-A089-07_IlluminaHiSeq_unc_v1  c       e!Gene
A1BG    154.4730        19      ENSG00000121410
A1CF    0.6349  10      ENSG00000148584
A2ML1   16.8254 12      ENSG00000166535
A2M     40198.2063      12      ENSG00000175899
A4GALT  627.3016        22      ENSG00000128274
A4GNT   1.9048  3       ENSG00000118017
AAAS    780.0000        12      ENSG00000094914
AACS    1132.0635       12      ENSG00000081760
AADACL2 1.2698  3       ENSG00000197953
AADACL3 5.0794  1       ENSG00000188984
AADACL4 0.0000  1       ENSG00000204518
AADAC   19.6825 3       ENSG00000114771
AADAT   58.7302 4       ENSG00000109576
AAGAB   1448.8889       15      ENSG00000103591
AAK1    966.9841        2       ENSG00000115977
AAMP    2770.7937       2       ENSG00000127837
AANAT   0.3175  17      ENSG00000129673
AARS2   485.0413        6       ENSG00000124608
AARSD1  692.6984        17      ENSG00000266967
