tcga_rgn_Solid_Tissue_Normal_TCGA-A7-A0CE-11A-21R-A089-07_IlluminaHiSeq_unc_v1  Gene	c       e!Gene
43.0714 A1BG    19      ENSG00000121410
0.3390  A1CF    10      ENSG00000148584
12.5434 A2ML1   12      ENSG00000166535
9467.7956       A2M     12      ENSG00000175899
114.9250        A4GALT  22      ENSG00000128274
3.3901  A4GNT   3       ENSG00000118017
697.6862        AAAS    12      ENSG00000094914
845.4954        AACS    12      ENSG00000081760
0.0000  AADACL2 3       ENSG00000197953
0.6780  AADACL3 1       ENSG00000188984
0.0000  AADACL4 1       ENSG00000204518
0.0000  AADAC   3       ENSG00000114771
200.3560        AADAT   4       ENSG00000109576
1318.4168       AAGAB   15      ENSG00000103591
905.1615        AAK1    2       ENSG00000115977
919.3999        AAMP    2       ENSG00000127837
1.0170  AANAT   17      ENSG00000129673
625.3954        AARS2   6       ENSG00000124608
550.8941        AARSD1  17      ENSG00000266967
